Word;POS;Pronunciation;No;Modern definition;Example
на-у́-ка;Сущ., неодуш., жен. род, 1-е скл.;[nɐˈukə];1;система знаний о закономерностях развития природы и общества и способах воздействия на окружающий мир;взаимодействие науки и техники
на-у́-ка;Сущ., неодуш., жен. род, 1-е скл.;[nɐˈukə];2;разг. то, что поучает, даёт опыт, урок;Не плачь, что больно. Это тебе наука.
на-у́-ка;Сущ., неодуш., жен. род, 1-е скл.;[nɐˈukə];3;устар. обучение какому-либо ремеслу;отдать сына в науку к сапожнику
об-ра-зо-ва́-ни·е;Сущ., неодуш., ср. род, 2-е скл.;[ɐbrəzɐˈvanʲɪɪ̯ə];1;то, что образовалось, возникло в результате какого-либо процесса;процесс образования горных пород  / День образования Советской Армии. 
об-ра-зо-ва́-ни·е;Сущ., неодуш., ср. род, 2-е скл.;[ɐbrəzɐˈvanʲɪɪ̯ə];2;"процесс усвоения знаний; обучение, просвещение";Без образования в наше время не проживёшь. 
пре-по-да-ва́-тель;Сущ., одуш., муж. род, 2-е скл.;[prʲɪpədɐˈvatʲɪlʲ];1;тот, кто занимается преподаванием чего-либо (обычно в среднем специальном или высшем учебном заведении);работать преподавателем в театральном училище
про-фес-си-о-на́ль-ный;Прил.;[prəfʲɪsʲɪɐˈnalʲnɨɪ̯];1;относящийся к профессии, связанный с какой-либо профессией;профессиональное обучение
про-фес-си-о-на́ль-ный;Прил.;[prəfʲɪsʲɪɐˈnalʲnɨɪ̯];2;относящийся к профессионализму, являющийся профессионалом;провести допрос на профессиональном уровне
ру-ко-во-ди́-тель;Сущ., одуш., муж. род, 2-е скл. ;[rʊkəvɐˈdʲitʲɪlʲ];1;тот, кто руководит кем-, чем-либо, направляет деятельность кого-, чего-либо ;руководитель туристского похода / классный руководитель
сту-де́нт;Сущ., одуш., муж. род, 2-е скл. ;[stʊˈdʲent];1;учащийся высшего учебного заведения;Отчислить студента за неуспеваемость.
у·ни-вер-си-те́т;Сущ., неодуш., муж. род, 2-е скл.;[ʊnʲɪvʲɪrsʲɪˈtʲet] ;1;высшее учебно-научное заведение с различными гуманитарными и естественно-математическими отделениями (факультетами) ;математический факультет университета
у·че́б-ный;Прил., относит.;[ʊˈt͡ɕebnɨɪ̯];1;"связанный с организацией процесса обучения и соотносящийся по значению с существительным ""учёба"" (период с сентября по июнь) ";учебный отдел / учебная программа
шко́-ла;Сущ., неодуш., жен. род, 1-е скл. ;[ˈʂkoɫə];1;учебное заведение, которое осуществляет общее образование и воспитание молодого поколения, или где даются специальные знания, профессиональные навыки;ходить в школу / музыкальная школа
шко́-ла;Сущ., неодуш., жен. род, 1-е скл. ;[ˈʂkoɫə];2;приобретение знаний, выучки, опыта и система приёмов, обязательных упражнений, видов работ при изучении чего-либо, при овладении каким-либо мастерством, искусством;начальная школа игры на фортепиано
шко́-ла;Сущ., неодуш., жен. род, 1-е скл. ;[ˈʂkoɫə];3;направление, течение в науке, искусстве, литературе, общественно-политической мысли и т.п., обладающее характерными свойствами, методами, приёмами;писатели карамзинской школы
шко́-ла;Сущ., неодуш., жен. род, 1-е скл. ;[ˈʂkoɫə];4;сельхоз. питомник, где выращивают растения (сеянцы или саженцы) до посадки на постоянное место;
эк-за́-мен;Сущ., неодуш., муж. род, 2-е скл.; [ɛɡˈzamʲɪn];1;проверочное испытание по какому-л. учебному предмету или испытание чьих-либо знаний и навыков;вступительный / государственный экзамен / экзамен на водительские права 
