Keyword,Frequency
innovative,3
student,112
intelligence,1
education,122
teacher,197
learning,54
professor,28
teaching,103
party,9
revolutionising,1
swim,1
daily,10
fun,3
curriculumlinked,6
favourite,5
july,30
worldclass,13
summer,12
wellbeing,21
disney,5
academic,44
tutor,6
mexico,2
math,32
awardwinning,21
ceo,57
mathematician,3
headteacher,31
mathswhizz,3
cricketing,1
charity,100
friday,35
training,34
cricketer,1
stadium,1
coach,5
august,8
cricketplaying,1
coaching,9
performance,1
enriching,2
naturethemed,1
theatre,12
annual,41
competition,67
dance,6
dancing,2
celebration,14
dancebased,1
friend,1
worsen,1
family,3
harming,1
worry,2
battle,4
anxiety,8
health,6
sick,2
university,63
fridge,1
concert,9
gym,2
germany,1
leipzig,1
partying,1
basecamp,1
denmark,1
partygoer,1
app,5
downloaded,1
website,27
classroom,92
online,76
apps,11
ipad,5
musician,1
live,5
musical,5
manager,44
band,3
banding,1
prom,2
promsintheplayground,1
schoolage,1
blog,4
oxford,2
penguin,5
podcasts,5
shortlisted,1
apprentice,3
benefitting,2
undergraduate,11
welshbased,1
nominated,1
winner,6
dna,1
genome,1
zoology,1
proteincoding,1
whipworm,1
scientist,18
genetics,2
vaccine,2
bioinformatician,1
biology,6
autumn,10
extravaganza,2
tutoring,5
sad,1
lockdown,4
studying,7
class,35
pandemic,24
compete,14
competing,7
competitive,7
weekend,8
june,32
homeschooling,4
archery,2
imogen,1
helplines,1
new,54
sussex,2
evelyn,1
parent,32
carnegie,1
celebrated,4
catholic,11
worklife,2
excelling,1
lecturer,9
planetarium,2
phd,3
science,37
educational,13
parliament,3
webinars,4
abbot,1
improving,5
professional,14
practising,1
selfevaluation,1
revising,1
reaffirmed,1
ofsted,9
edtech,4
networking,2
college,16
keynote,4
microsoft,4
april,30
trainee,1
developmental,1
stage,2
elearning,3
therapist,3
sixteenyear,1
cat,2
mother,4
arkwright,2
cybersecurity,2
cyber,3
python,2
mathematics,16
sustainability,2
internship,1
finalist,24
changemakers,1
mentorship,2
entrepreneurial,3
festival,19
newlycreated,1
votesforschools,1
awardwinners,1
companiesschools,1
september,5
travis,1
monday,18
football,7
wednesday,17
rugby,3
schoolcentred,2
livewire,1
holiday,10
celebrating,13
fundraising,19
youtube,6
birthday,7
marathon,2
comedian,2
podcaster,1
schoolchildren,7
robot,7
robotics,9
robotinspired,1
book,6
literacy,16
librarian,4
library,19
footpath,1
november,14
traffic,3
crocodile,1
forestry,2
beef,1
semifinal,3
semifinalist,2
graduate,10
patient,3
hospital,6
workplace,6
nursing,5
healthcare,9
nurse,5
classroombased,4
midwifery,1
march,9
updated,2
month,16
launch,10
tonight,1
download,15
heating,3
alarm,2
ventilation,2
selfcalibrating,1
mitigation,1
reopening,3
ventilate,1
ventilating,1
attendee,1
booked,1
host,6
february,15
google,7
roadblock,1
edexcel,1
exam,12
educator,27
hamlet,1
doctor,4
heidi,1
decade,5
vaccination,1
immunologist,1
academy,3
tilbury,1
architect,6
autismspectrum,1
sheffield,2
publisher,1
facebook,13
thursday,12
innovation,16
teamwork,5
coventry,3
latest,12
composer,1
orchestra,3
orchestral,1
rebranding,2
musicmakers,1
hiphop,1
reliable,1
scotland,1
workstream,1
revitalise,1
videobased,1
accident,1
attacker,1
attack,1
malware,1
fbi,1
ransomware,1
cybercriminals,1
volunteer,24
lecture,5
historian,1
workingclass,1
discovery,1
global,11
classrooms,1
rover,1
homepage,1
touchdown,1
nasa,4
fittest,2
disability,4
olympic,5
olympics,3
juggling,1
paralympic,2
paralympics,3
teach,13
podcast,6
mathsconf,1
textbook,2
workbook,1
curriculum,19
gainsborough,1
rotherhambased,1
employability,1
mentor,7
mentoring,7
medeshamstede,1
cambridge,10
autism,6
tuition,3
disadvantaged,3
suffering,5
inequality,3
energysaving,1
