Keyword,Frequency
коронавирусный,7
профессиональный,1061
целесообразно,3
образовательный,1040
вакцинироваться,1
онлайнтрансляция,4
противопоказание,1
эпидемиологический,13
учебнометодический,1104
общественнопрофессиональный,1104
обязательный,46
своевременный,1
познакомиться,3
исполнительный,7
программирование,5
сберобразование,4
востребовать,9
искусственный,65
ленинградский,8
дополнительный,122
общеобразовательный,71
стратегический,10
использование,37
квалифицировать,12
самоуправление,11
психотропный,2
профобразование,25
организационнокоммуникативный,1
руководитель,65
курчатовский,4
зарегистрировать,15
промышленность,9
просветительский,7
высокопоставленный,2
благотворительный,15
научнотехнический,15
налогоплательщик,5
частногосударственный,1
научнопопулярный,2
научнообразовательный,5
научноисследовательский,23
законопослушный,2
обеспечиваться,2
разъяснительный,2
педагогический,88
антитеррористический,2
психологический,32
методологический,1
целесообразный,3
онлайнподключение,1
предпрофессиональный,4
политический,3
опубликовать,49
торжественный,2
поблагодарить,1
свидетельствовать,9
декларировать,2
компенсационный,2
карачаевочеркессия,1
кабардинобалкария,2
самообразование,3
законодательный,9
заболеваемость,7
законодательство,59
государственноправовый,1
запланировать,6
вступительный,43
взаимодействие,25
независимый,8
принципиально,1
дистанционный,9
сопоставимый,7
заинтересованность,7
переквалификация,1
карачаевочеркесия,3
инженернотехнический,6
ассистентурыстажировка,1
сельскохозяйственный,9
кабардинобалкарский,2
высокопрофессиональный,2
образование,92
свободный,2
замечательный,4
организовать,81
спланировать,1
стройплощадка,1
завершиться,110
собираться,3
просвещение,48
поступление,3
обществознание,43
старшеклассник,16
зарегистрироваться,9
онлайнтестирование,2
девятиклассник,15
медиакоммуникация,1
высокотехнологичный,11
самостоятельно,26
распространение,17
подведомственный,19
эпидемический,2
квалификационный,3
санитарноэпидемиологический,3
институциональный,1
перевыполнить,1
вузовучастник,1
проанализировать,14
конкурентоспособность,19
квалификация,6
недопустимый,1
воспитательный,11
советниковвоспитатель,1
присоединиться,6
музеезаповедник,1
художественный,19
музеязаповедник,1
безопасность,19
пассажиропоток,1
межрегиональный,4
гуманитарнопедагогический,1
эффективность,9
первомайский,3
кантемировский,1
апробированный,2
каллиграфический,1
инструктивнометодический,1
возобновить,1
коронавирус,5
дистанционка,1
определённый,2
доступный,24
сиюминутный,1
индивидуальный,7
контролировать,5
адаптироваться,3
бессимптомный,1
собственность,6
предоставить,15
преподаватель,44
учреждение,13
обсуждение,55
сегодняшний,3
алмазэргиэнбанк,1
привлекательность,1
университетапартнер,1
металлургический,2
конкурентоспособный,7
практикоориентировать,4
обратиться,4
администрация,15
специальный,6
необходимость,32
продезинфицировать,1
общероссийский,4
соответствовать,21
установление,3
премьерминистр,25
ежегодный,1
продлиться,1
социальный,4
официальный,7
родительский,4
пояснительный,3
